search_title,job_title,relevance_score,company,location,posted,url,licensed_sponsor,sponsorship_signal,sponsorship_evidence,hiring_contact_name,hiring_contact_title
junior data analyst,Junior Data Analyst - Maritime,0.358974358974359,Kpler,"London Area, United Kingdom",2026-02-20,https://uk.linkedin.com/jobs/view/junior-data-analyst-maritime-at-kpler-4373142510,True,unknown,,,
data scientist,"Data Scientist, EMEA",0.3448275862068966,Stripe,"London, England, United Kingdom",2026-03-10,https://uk.linkedin.com/jobs/view/data-scientist-emea-at-stripe-4358572877,True,unknown,,,
data analyst,Data Analyst (Entry Level),0.34285714285714286,WPP Media,"London, England, United Kingdom",2026-03-06,https://uk.linkedin.com/jobs/view/data-analyst-entry-level-at-wpp-media-4380292697,True,unknown,,,
ai trainer,AI Trainer - Computer Scientist (UK),0.3389830508474576,Prolific,"London, England, United Kingdom",2026-03-04,https://uk.linkedin.com/jobs/view/ai-trainer-computer-scientist-uk-at-prolific-4364325887,True,unknown,,,
junior data scientist,Junior Data Scientist,0.3333333333333333,Harnham,"London, England, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/junior-data-scientist-at-harnham-4380097421,True,unknown,,,
machine learning engineer,"Machine Learning Engineer (Applied Machine Learning), AI & Data Platforms (AiDP)",0.3333333333333333,Apple,"London, England, United Kingdom",2026-02-20,https://uk.linkedin.com/jobs/view/machine-learning-engineer-applied-machine-learning-ai-data-platforms-aidp-at-apple-4374613280,True,unknown,,,
analytics engineer,Analytics Engineer / Data Scientist (Mid–Senior),0.3157894736842105,Venatus,"London, England, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/analytics-engineer-data-scientist-mid%E2%80%93senior-at-venatus-4380147364,True,unknown,,,
data analyst,Graduate Data Analyst - London,0.3076923076923077,hackajob,"London, England, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/graduate-data-analyst-london-at-hackajob-4380492967,True,unknown,,,
ai trainer,AI Trainer - Advanced SQL Developers,0.3050847457627119,Prolific,"London, England, United Kingdom",2026-02-24,https://uk.linkedin.com/jobs/view/ai-trainer-advanced-sql-developers-at-prolific-4213116382,True,unknown,,,
ai trainer,AI Training - Research Scientist (UK),0.3,Prolific,"London, England, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/ai-training-research-scientist-uk-at-prolific-4364385702,True,unknown,,,
ai trainer,AI Trainer - Advanced Java Developers,0.3,Prolific,"London, England, United Kingdom",2026-02-23,https://uk.linkedin.com/jobs/view/ai-trainer-advanced-java-developers-at-prolific-4213115567,True,unknown,,,
data science consultant,Data Science Consultant,0.2962962962962963,Intent HQ,"London Area, United Kingdom",2026-03-07,https://uk.linkedin.com/jobs/view/data-science-consultant-at-intent-hq-4382387186,True,unknown,,,
ml engineer,AI/ML Engineer (£60-130k),0.2926829268292683,Jumpstart,"London Area, United Kingdom",2026-02-16,https://uk.linkedin.com/jobs/view/ai-ml-engineer-%C2%A360-130k-at-jumpstart-4373545828,True,unknown,,,
ai trainer,AI Trainer - Advanced Python Developers,0.2903225806451613,Prolific,"London, England, United Kingdom",2026-02-27,https://uk.linkedin.com/jobs/view/ai-trainer-advanced-python-developers-at-prolific-4204996082,True,unknown,,,
applied data scientist,Applied Data Scientist - UK,0.2777777777777778,Quid,"London Area, United Kingdom",2026-02-23,https://uk.linkedin.com/jobs/view/applied-data-scientist-uk-at-quid-4374529566,True,unknown,,,
ai trainer,AI Trainer - Advanced HTML/ CSS Developers,0.27692307692307694,Prolific,"London, England, United Kingdom",2026-02-23,https://uk.linkedin.com/jobs/view/ai-trainer-advanced-html-css-developers-at-prolific-4216594179,True,unknown,,,
ai trainer,AI Trainer - Advanced Mathematicians EU,0.25806451612903225,Prolific,"London, England, United Kingdom",2026-02-20,https://uk.linkedin.com/jobs/view/ai-trainer-advanced-mathematicians-eu-at-prolific-4347749846,True,unknown,,,
data and ai consultant,Drug Commercialization Data & AI Consultant,0.24242424242424243,Clarivate,"London, England, United Kingdom",2026-02-28,https://uk.linkedin.com/jobs/view/drug-commercialization-data-ai-consultant-at-clarivate-4369773470,True,unknown,,,
data and ai consultant,Life Sciences R&D Data & AI Consultant,0.19672131147540983,Clarivate,"London, England, United Kingdom",2026-02-28,https://uk.linkedin.com/jobs/view/life-sciences-r-d-data-ai-consultant-at-clarivate-4369771590,True,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,MBN Solutions,"London Area, United Kingdom",2026-03-09,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-mbn-solutions-4381707846,False,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,LT Harper Recruitment Group,"London Area, United Kingdom",2026-03-09,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-lt-harper-recruitment-group-4381732972,False,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,Digital Waffle,"City Of London, England, United Kingdom",2026-03-06,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-digital-waffle-4380694810,False,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,Omnis Partners,"London Area, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-omnis-partners-4381449092,False,unknown,,,
ai engineer,Artificial Intelligence Engineer,0.8363636363636363,Burns Sheehan,"London Area, United Kingdom",2026-03-04,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-burns-sheehan-4380957184,False,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,SR2 | Socially Responsible Recruitment | Certified B Corporation™,"London Area, United Kingdom",2026-02-23,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-sr2-socially-responsible-recruitment-certified-b-corporation%E2%84%A2-4374253670,False,unknown,,,
ai engineer,Artificial Intelligence Engineer,0.8363636363636363,Intellect Group,"London Area, United Kingdom",2026-02-18,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-intellect-group-4365478306,False,unknown,,,
ai engineer,Artificial Intelligence Engineer,0.8363636363636363,Burns Sheehan,"London Area, United Kingdom",2026-02-16,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-burns-sheehan-4373544575,False,unknown,,,
ml engineer,Machine Learning Engineer,0.7804878048780488,SteadyPay,"London Area, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-steadypay-4381426665,False,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Explore Group,"London Area, United Kingdom",2026-03-02,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-explore-group-4377771883,False,unknown,,,
junior machine learning engineer,Machine Learning Engineer,0.7804878048780488,Intellect Group,"London Area, United Kingdom",2026-02-18,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-intellect-group-4374734197,False,unknown,,,
analytics engineer,Analytics Engineer,0.6666666666666666,90min,"London, England, United Kingdom",2026-02-25,https://uk.linkedin.com/jobs/view/analytics-engineer-at-90min-4376795237,False,unknown,,,
analytics engineer,Analytics Engineer,0.6666666666666666,Minute Media,"London, England, United Kingdom",2026-02-16,https://uk.linkedin.com/jobs/view/analytics-engineer-at-minute-media-4373882008,False,unknown,,,
analytics consultant,Analytics Consultant,0.6206896551724138,Nicholson Glover,"London Area, United Kingdom",2026-03-02,https://uk.linkedin.com/jobs/view/analytics-consultant-at-nicholson-glover-4378105303,False,unknown,,,
data analyst,Data Analyst,0.5714285714285714,Haystack,"London Area, United Kingdom",2026-03-02,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4378814338,False,unknown,,,
data analyst,Data Analyst,0.5714285714285714,Haystack,"London Area, United Kingdom",2026-03-02,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4378804425,False,unknown,,,
data scientist,Data Scientist,0.4444444444444444,ENI – Elizabeth Norman International,"London Area, United Kingdom",2026-03-10,https://uk.linkedin.com/jobs/view/data-scientist-at-eni-%E2%80%93-elizabeth-norman-international-4382042140,False,unknown,,,
data scientist,Data Scientist,0.4444444444444444,Haystack,"Greater London, England, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/data-scientist-at-haystack-4379421091,False,unknown,,,
